 262    2373    1316    2437    1451         65     136
 263    2438    1316    2897    1451        460     136
 264    2898    1316    3200    1451        303     136
 265       1    1452     209    1580        209     129
 266     210    1452     277    1580         68     129
 267     278    1452     345    1580         68     129
 268     346    1452     413    1580         68     129
 269     414    1452     495    1580         82     129
 270     496    1452     573    1580         78     129
 271     574    1452     693    1580        120     129
 272     694    1452     951    1580        258     129
 273     952    1452    1019    1580         68     129
 274    1020    1452    1087    1580         68     129
 275    1088    1452    1156    1580         69     129
 276    1157    1452    1792    1580        636     129
 277    1793    1452    1864    1580         72     129
 278    1865    1452    1932    1580         68     129
 279    1933    1452    1999    1580         67     129
 280    2000    1452    2067    1580         68     129
 281    2068    1452    2135    1580         68     129
 282    2136    1452    2203    1580         68     129
 283    2204    1452    2271    1580         68     129
 284    2272    1452    2339    1580         68     129
 285    2340    1452    2407    1580         68     129
 286    2408    1452    2475    1580         68     129
 287    2476    1452    2564    1580         89     129
 288    2565    1452    3200    1580        636     129
 289       1    1581     241    1685        241     105
 290     242    1581     325    1685         84     105
 291     326    1581     408    1685         83     105
 292     409    1581     549    1685        141     105
 293     550    1581     634    1685         85     105
 294     635    1581     717    1685         83     105
 295     718    1581     977    1685        260     105
 296     978    1581    1060    1685         83     105
 297    1061    1581    1143    1685         83     105
 298    1144    1581    1804    1685        661     105
 299    1805    1581    1892    1685         88     105
 300    1893    1581    1975    1685         83     105
 301    1976    1581    2059    1685         84     105
 302    2060    1581    2142    1685         83     105
 303    2143    1581    2225    1685         83     105
 304    2226    1581    2309    1685         84     105
 305    2310    1581    2393    1685         84     105
 306    2394    1581    2476    1685         83     105
 307    2477    1581    2559    1685         83     105
 308    2560    1581    2642    1685         83     105
 309    2643    1581    2726    1685         84     105
 310    2727    1581    2811    1685         85     105
 311    2812    1581    2898    1685         87     105
 312    2899    1581    3200    1685        302     105
 313       1    1686     251    1790        251     105
 314     252    1686     335    1790         84     105
 315     336    1686     419    1790         84     105
 316     420    1686     575    1790        156     105
 317     576    1686     697    1790        122     105
 318     698    1686     787    1790         90     105
 319     788    1686    1015    1790        228     105
 320    1016    1686    1099    1790         84     105
 321    1100    1686    1183    1790         84     105
 322    1184    1686    1811    1790        628     105
 323    1812    1686    1900    1790         89     105
